,Date,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC. ,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC,Date,S&P 500,Date,Algo 1,Algo 2
6,2015-03-10,-0.0102629670644321,-0.0053407235443818,-0.0120791539006549,-0.0097390284734647,2012-10-10,-0.006188084468740529,2014-06-05,0.0040623899038395,0.0132850478592028
7,2015-03-11,0.0040119208043012,0.0051631430413661,0.0033118255343416,-0.0011466764438018,2012-10-11,0.0001954542916178248,2014-06-06,0.0018566535271754,0.0082837711938497
8,2015-03-12,0.0082646299047095,0.0102716185869347,0.0131168901913818,0.01080141763962,2012-10-12,-0.002966137182099926,2014-06-09,-0.0050116417254951,0.0056681085284448
9,2015-03-13,-0.0024972745488313,-0.0014284161547658,-0.0036971872087163,-0.008142217554344,2012-10-15,0.00807789498736522,2014-06-10,0.0044060547305921,-0.0007354920754258
10,2015-03-16,0.0079006210385901,0.0035825339926776,0.007953004700508,0.008054624464487,2012-10-16,0.010269906189024569,2014-06-11,0.004760098111486,-0.0037612790592383
11,2015-03-17,0.0021419035463847,0.0029281064224944,-0.0006871817837931,0.0003843565322338,2012-10-17,0.004117064855799546,2014-06-12,-2.823658444159501e-05,-0.0038411294061609
12,2015-03-18,0.0096027594185787,0.0075130969407208,0.0095568796603204,0.0078535252095985,2012-10-18,-0.002443682362363253,2014-06-13,0.0019173935356267,-0.0008143888607544
13,2015-03-19,-0.0007784772838256,-0.0025542270888001,-0.0029250942474209,0.0023629367796258,2012-10-19,-0.01657128741405567,2014-06-16,0.001084026429456,0.0018306830134896
14,2015-03-20,0.0096572999202588,0.0009833771991436,0.0073907793434191,0.0071046562222378,2012-10-22,0.0004395788416049484,2014-06-17,0.0009220495467447,0.0068697100254122
15,2015-03-23,-6.674185755528583e-05,-0.0005134996079992,-0.0001087525046352,0.0005910985542618,2012-10-23,-0.014443932990194086,2014-06-18,-0.0063033411754054,0.0072282162048641
16,2015-03-24,-0.002570522859054,-0.0048080230333857,-0.0033209258633954,-0.0010129942802968,2012-10-24,-0.0030853932107195448,2014-06-19,-0.0008528868558436,0.0039889475767817
17,2015-03-25,-0.006156197230142,-0.0080183564909085,-0.0111715371095874,-0.0145673009155858,2012-10-25,0.002995563442768523,2014-06-20,0.0063976208864215,0.0039284990816965
18,2015-03-26,-0.0020978795111205,-0.0005929135940357,-0.0010345354638604,-0.0012116232367689,2012-10-26,-0.0007289609828942112,2014-06-23,-0.0045322592622181,-0.0006147431802631
19,2015-03-27,-7.500987092434741e-05,0.0020878888719788,0.0021895850459361,0.0047757069040683,2012-10-31,0.00015581398642994237,2014-06-24,0.0118612750978337,-0.0093890940988111
20,2015-03-30,0.008112673837378,0.0022196864505061,0.0086168241672646,0.0052278947373183,2012-11-01,0.010926523906639396,2014-06-25,-0.0013214028696439,0.0063224590505043
21,2015-03-31,-0.0054445930356659,-0.0030211713659039,-0.0039680010092048,0.0018580599284478,2012-11-02,-0.00937944367780652,2014-06-26,-0.0002127181257784,-0.0003335179834055
22,2015-04-01,0.0009185284392367,0.0001568146069086,-0.0020015371371282,-0.003865395879651,2012-11-05,0.0021637675010606205,2014-06-27,0.0071361364302687,0.0045949245140577
23,2015-04-02,0.0025612955246112,0.0042990336058916,0.0030581297294201,0.0019664295861856,2012-11-06,0.00785318149104608,2014-06-30,-0.0015836216300565,0.0052421591318199
24,2015-04-06,0.0053675938373412,0.0037631078125979,0.0046311735478388,0.0049204748540352,2012-11-07,-0.023705010536338222,2014-07-01,0.0018174824626382,0.0077103929392572
25,2015-04-07,-0.0012426093488774,-0.0001714790115342,-0.0020598154952092,0.0018822503277511,2012-11-08,-0.012204828867073525,2014-07-02,0.0032997794281187,-0.0028338267035524
26,2015-04-08,0.0061854629516822,0.0126522940609363,0.0034520158692838,0.0123515754075027,2012-11-09,0.0016987172506914838,2014-07-03,0.0013577194261448,0.0031250951868598
27,2015-04-09,0.0040356157221588,0.0032315039242341,-0.0004526192269821,-0.0019046826373734,2012-11-12,0.0001304489618436655,2014-07-07,0.0027818636553532,-0.0122575740365681
28,2015-04-10,-9.020228232836658e-05,0.0012302134085697,0.0023858735430219,0.001661398420419,2012-11-13,-0.003985420606798407,2014-07-08,0.0024881253574092,-0.010457268201887
29,2015-04-13,-0.0034476111013995,-0.0027663436845037,-0.0040717476847246,-0.0030737823271473,2012-11-14,-0.013852007595323457,2014-07-09,-0.0018809247220774,0.0044271197769713
30,2015-04-14,0.0033927746815434,0.0020214443077479,0.0021419710590235,0.0075159557448338,2012-11-15,-0.0015935196866078138,2014-07-10,-0.0011531534959454,-0.0112137804053471
31,2015-04-15,0.004755769631757,0.0017526682414579,0.0037539453460255,0.0048718062763866,2012-11-16,0.004839913398801521,2014-07-11,-0.0003658193671289,0.0027801397669089
32,2015-04-16,-0.0021108420774798,-0.003231826089307,0.0005101247353624,0.0001024733840278,2012-11-19,0.01986204665117519,2014-07-14,0.0044603221215334,0.0046140647555327
33,2015-04-17,-0.0094315679748723,-0.0022009629120038,-0.0106174556406827,-0.0130456672463713,2012-11-20,0.0006633547000842732,2014-07-15,-0.0021063883898672,-0.0077988162129442
34,2015-04-20,-0.0005075730406374,0.0012387450416291,0.0062524287795209,0.0007800969363398,2012-11-21,0.0023202023331725385,2014-07-16,-0.003186335054902,0.0001092387347035
35,2015-04-21,0.0042657200717421,0.0046294885383106,0.0048785920344471,0.0078046642598483,2012-11-23,0.01302631862720438,2014-07-17,-0.009029619474488,-0.0080562347749191
