Date,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC. ,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC,S&P 500,Algo 1,Algo 2
2012-10-02,,,,,0.0008722801819327497,,
2012-10-03,,,,,0.0036244163928755846,,
2012-10-04,,,,,0.007174411953218218,,
2012-10-05,,,,,-0.00032160941562886514,,
2012-10-08,,,,,-0.0034567022376157386,,
2012-10-09,,,,,-0.009890925076242563,,
2012-10-10,,,,,-0.006188084468740529,,
2012-10-11,,,,,0.0001954542916178248,,
2012-10-12,,,,,-0.002966137182099926,,
2012-10-15,,,,,0.00807789498736522,,
2012-10-16,,,,,0.010269906189024569,,
2012-10-17,,,,,0.004117064855799546,,
2012-10-18,,,,,-0.002443682362363253,,
2012-10-19,,,,,-0.01657128741405567,,
2012-10-22,,,,,0.0004395788416049484,,
2012-10-23,,,,,-0.014443932990194086,,
2012-10-24,,,,,-0.0030853932107195448,,
2012-10-25,,,,,0.002995563442768523,,
2012-10-26,,,,,-0.0007289609828942112,,
2012-10-31,,,,,0.00015581398642994237,,
2012-11-01,,,,,0.010926523906639396,,
2012-11-02,,,,,-0.00937944367780652,,
2012-11-05,,,,,0.0021637675010606205,,
2012-11-06,,,,,0.00785318149104608,,
2012-11-07,,,,,-0.023705010536338222,,
2012-11-08,,,,,-0.012204828867073525,,
2012-11-09,,,,,0.0016987172506914838,,
2012-11-12,,,,,0.0001304489618436655,,
2012-11-13,,,,,-0.003985420606798407,,
2012-11-14,,,,,-0.013852007595323457,,
2012-11-15,,,,,-0.0015935196866078138,,
2012-11-16,,,,,0.004839913398801521,,
2012-11-19,,,,,0.01986204665117519,,
2012-11-20,,,,,0.0006633547000842732,,
2012-11-21,,,,,0.0023202023331725385,,
2012-11-23,,,,,0.01302631862720438,,
2012-11-26,,,,,-0.0020295923074195032,,
2012-11-27,,,,,-0.005226518001265723,,
2012-11-28,,,,,0.007855948074971142,,
2012-11-29,,,,,0.004269715517791761,,
2012-11-30,,,,,0.000162435114234194,,
2012-12-03,,,,,-0.0047451595136212,,
2012-12-04,,,,,-0.0017098747037873618,,
2012-12-05,,,,,0.0015848761593404426,,
2012-12-06,,,,,0.003306653042688623,,
2012-12-07,,,,,0.002920916021896147,,
2012-12-10,,,,,0.00033848822695636827,,
2012-12-11,,,,,0.0065489408198511345,,
2012-12-12,,,,,0.00044822949350065144,,
2012-12-13,,,,,-0.006321404569892497,,
2012-12-14,,,,,-0.0041354045581035725,,
2012-12-17,,,,,0.011870569759051541,,
2012-12-18,,,,,0.01148661875332091,,
2012-12-19,,,,,-0.007589214744365136,,
2012-12-20,,,,,0.0054881913345081745,,
2012-12-21,,,,,-0.009378744744370282,,
2012-12-24,,,,,-0.0024403034646715005,,
2012-12-26,,,,,-0.004787405548624113,,
2012-12-27,,,,,-0.0012184557306156307,,
2012-12-28,,,,,-0.011049996474155499,,
2012-12-31,,,,,0.01694202206170714,,
2013-01-02,,,,,0.02540334738008254,,
2013-01-03,,,,,-0.0020855841687067445,,
2013-01-04,,,,,0.004865113028224677,,
2013-01-07,,,,,-0.0031231460582213932,,
2013-01-08,,,,,-0.0032423780174979377,,
2013-01-09,,,,,0.0026558693339737705,,
2013-01-10,,,,,0.007597431931116505,,
2013-01-11,,,,,-4.755047142890323e-05,,
2013-01-14,,,,,-0.0009306749091402278,,
2013-01-15,,,,,0.0011287295672748332,,
2013-01-16,,,,,0.00019696537484570342,,
2013-01-17,,,,,0.00564296530696784,,
2013-01-18,,,,,0.0034032438856401726,,
2013-01-22,,,,,0.004428054213380994,,
2013-01-23,,,,,0.0015074770863483522,,
2013-01-24,,,,,6.689813421001389e-06,,
2013-01-25,,,,,0.005445471695588733,,
2013-01-28,,,,,-0.0018496832916378159,,
2013-01-29,,,,,0.0051060539401937,,
2013-01-30,,,,,-0.003899617996604321,,
2013-01-31,,,,,-0.0025633172654399017,,
2013-02-01,,,,,0.010052666359613216,,
2013-02-04,,,,,-0.011538690299173315,,
2013-02-05,,,,,0.01041645773579103,,
2013-02-06,,,,,0.0005491996903306262,,
2013-02-07,,,,,-0.0018054122688674346,,
2013-02-08,,,,,0.005657914786768137,,
2013-02-11,,,,,-0.0006060885548082595,,
2013-02-12,,,,,0.0015952432745993672,,
2013-02-13,,,,,0.0005923273859276268,,
2013-02-14,,,,,0.0006906395322070491,,
2013-02-15,,,,,-0.0010451037873510094,,
2013-02-19,,,,,0.007336539916699136,,
2013-02-20,,,,,-0.01240414385932831,,
2013-02-21,,,,,-0.0063031184893680425,,
2013-02-22,,,,,0.008772513677932858,,
2013-02-25,,,,,-0.018309580364212152,,
2013-02-26,,,,,0.006109486843431933,,
2013-02-27,,,,,0.012725960960359162,,
2013-02-28,,,,,-0.000864121794998618,,
2013-03-01,,,,,0.002323923204901268,,
2013-03-04,,,,,0.004610723224871549,,
2013-03-05,,,,,0.009565958562811394,,
2013-03-06,,,,,0.0010845634794356407,,
2013-03-07,,,,,0.0018164597200056587,,
2013-03-08,,,,,0.004481110693795198,,
2013-03-11,,,,,0.00324913936487059,,
2013-03-12,,,,,-0.0024032591792934044,,
2013-03-13,,,,,0.0013140265897144676,,
2013-03-14,,,,,0.005603015721894922,,
2013-03-15,,,,,-0.0016184438630272302,,
2013-03-18,,,,,-0.005510347920804848,,
2013-03-19,,,,,-0.002422524321886499,,
2013-03-20,,,,,0.006697495382151253,,
2013-03-21,,,,,-0.008282490007762933,,
2013-03-22,,,,,0.007174278690645686,,
2013-03-25,,,,,-0.0033399919069426742,,
2013-03-26,,,,,0.007785060160212298,,
2013-03-27,,,,,-0.0005883218120312783,,
2013-03-28,,,,,0.004056691301148607,,
2013-04-01,,,,,-0.0044736456388327905,,
2013-04-02,,,,,0.005172292388152311,,
2013-04-03,,,,,-0.010546091386721801,,
2013-04-04,,,,,0.004048426648816772,,
2013-04-05,,,,,-0.004294926858036674,,
2013-04-08,,,,,0.006302791512154959,,
2013-04-09,,,,,0.003544307036792871,,
2013-04-10,,,,,0.012189135604133705,,
2013-04-11,,,,,0.003552241250086574,,
2013-04-12,,,,,-0.0028367548027137257,,
2013-04-15,,,,,-0.02296629637788339,,
2013-04-16,,,,,0.014307248318689014,,
2013-04-17,,,,,-0.01432772121912651,,
2013-04-18,,,,,-0.006700987751367626,,
2013-04-19,,,,,0.008847892787410716,,
2013-04-22,,,,,0.004661629963028435,,
2013-04-23,,,,,0.010419200000000073,,
2013-04-24,,,,,6.3340047378179776e-06,,
2013-04-25,,,,,0.004034735461967864,,
2013-04-26,,,,,-0.0018420853415428429,,
2013-04-29,,,,,0.007186014763878923,,
2013-04-30,,,,,0.0024849241658875254,,
2013-05-01,,,,,-0.009307886352397654,,
2013-05-02,,,,,0.009407973715801932,,
2013-05-03,,,,,0.010534617768013232,,
2013-05-06,,,,,0.00190780589933226,,
2013-05-07,,,,,0.005230293663060381,,
2013-05-08,,,,,0.004139093212625067,,
2013-05-09,,,,,-0.0036871665778561713,,
2013-05-10,,,,,0.004321712455507276,,
2013-05-13,,,,,4.284752402528014e-05,,
2013-05-14,,,,,0.01014218647667664,,
2013-05-15,,,,,0.005114097701079734,,
2013-05-16,,,,,-0.005009705928453401,,
2013-05-17,,,,,0.01030009633619522,,
2013-05-20,,,,,-0.0007076589084061835,,
2013-05-21,,,,,0.001722389259972923,,
2013-05-22,,,,,-0.008273622660500024,,
